COLLEGIOUNINOMINALE;CIRCOSCRIZIONE;LISTA;VOTI_LISTA;VOTANTI
Piemonte 1 - U02;Piemonte 1;FI;10110.348041599993;105371.58089447208
Piemonte 1 - U03;Piemonte 1;FI;15444.94111904693;165526.65388635165
Piemonte 1 - U04;Piemonte 1;FI;15337.651624230537;149198.9660488218
Piemonte 1 - U05;Piemonte 1;FI;16328.517960473946;153291.07992081717
Piemonte 2 - U01;Piemonte 2;FI;16539.286816897853;135859.3112794757
Piemonte 2 - U02;Piemonte 2;FI;17640.72324582675;142113.06346663833
Piemonte 2 - U03;Piemonte 2;FI;16086.941500493265;128280.5985716423
Piemonte 2 - U04;Piemonte 2;FI;16309.529676613849;140802.9118091464
Piemonte 2 - U05;Piemonte 2;FI;17251.901998233432;154728.72971874475
Valle d'aosta/Vallée d'Aoste - U01;Valle d'Aosta/Vallée d'Aoste;FI;7.938112592144737;66370.0
Lombardia 1 - U01;Lombardia 1;FI;16943.537824653915;155342.18295099214
Lombardia 1 - U02;Lombardia 1;FI;19350.518026172238;166330.60099975206
Lombardia 1 - U03;Lombardia 1;FI;16796.6920581417;161392.83924120665
Lombardia 1 - U04;Lombardia 1;FI;18442.093902855697;162454.4642060995
Lombardia 1 - U05;Lombardia 1;FI;17640.111693855328;162263.28040081263
Lombardia 1 - U06;Lombardia 1;FI;15547.369895241938;145273.73823688924
Lombardia 1 - U07;Lombardia 1;FI;13259.159097121474;116214.26745604724
Lombardia 1 - U08;Lombardia 1;FI;13754.664276971129;118016.15918585658
Lombardia 1 - U09;Lombardia 1;FI;15929.465130469103;119594.91208931943
Lombardia 2 - U01;Lombardia 2;FI;17202.041973083513;151474.4790506959
Lombardia 2 - U02;Lombardia 2;FI;19626.734858348365;174974.32298791409
Lombardia 2 - U03;Lombardia 2;FI;18033.5646452937;157354.16139608622
Lombardia 2 - U04;Lombardia 2;FI;15303.250823738177;133922.43349497765
Lombardia 2 - U05;Lombardia 2;FI;12728.951899745474;129181.15250968933
Lombardia 3 - U01;Lombardia 3;FI;16256.227655057457;151186.97870968655
