COLLEGIOUNINOMINALE;CIRCOSCRIZIONE;LISTA;VOTI_LISTA;VOTANTI
Veneto 1 - U05;Veneto 1;FI;7465.239054869469;114457.11759376526
Veneto 2 - U01;Veneto 2;FI;10565.532743195901;151384.72868398073
Veneto 2 - U02;Veneto 2;FI;12657.628254977342;185420.16187389195
Veneto 2 - U03;Veneto 2;FI;12417.003013928581;182345.41396042705
Veneto 2 - U04;Veneto 2;FI;9604.04314978202;172862.6856917739
Veneto 2 - U05;Veneto 2;FI;9043.55119086253;154069.73023663834
Veneto 2 - U06;Veneto 2;FI;8005.052303356193;125778.40077978373
Veneto 2 - U07;Veneto 2;FI;8808.114812306514;121109.24212008715
Friuli-Venezia Giulia - U01;Friuli-Venezia Giulia;FI;8560.750259549766;134944.3755803192
Friuli-Venezia Giulia - U02;Friuli-Venezia Giulia;FI;8247.038427360214;129862.58529174328
Friuli-Venezia Giulia - U03;Friuli-Venezia Giulia;FI;6458.896954504219;107987.75032508373
Liguria - U01;Liguria;FI;12764.449979843937;140206.25134152174
Liguria - U02;Liguria;FI;10416.380378352706;139913.20601949096
Liguria - U03;Liguria;FI;12673.06864499113;149881.56551187485
Liguria - U04;Liguria;FI;11633.39026158204;145910.85632365942
Emilia-Romagna - U01;Emilia-Romagna;FI;11179.904789012071;140927.6889091581
Emilia-Romagna - U02;Emilia-Romagna;FI;7330.281346085175;113448.21436924208
Emilia-Romagna - U03;Emilia-Romagna;FI;8557.193347726774;159364.89714206755
